id,text,label,source
1,พรุ่งนี้ช่วยส่งรายงานบทที่ 2 ก่อนเที่ยง,To-do,line_export
2,อย่าลืมอัปโหลดสไลด์เข้ากลุ่มภายในวันนี้,To-do,line_export
3,ช่วยเช็กชื่อผู้เข้าร่วมประชุมให้ครบก่อน 9 โมง,To-do,line_export
4,รบกวนแก้ไฟล์งบประมาณตามคอมเมนต์และส่งกลับ,To-do,line_export
5,ขอให้เตรียมรูปเล่มฉบับร่างส่งอาจารย์วันศุกร์,To-do,line_export
6,ตั้งตารางนัดหมายกับคุณกฤษภายในบ่ายนี้,To-do,synth
7,อัปเดตสถานะงานในชีตก่อนเลิกเรียน,To-do,line_export
8,ช่วยทำบันทึกการประชุมวันนี้แล้วแชร์ในกลุ่ม,To-do,line_export
9,ทดสอบบอทบนกลุ่มทดลองให้เสร็จภายในคืนนี้,To-do,synth
10,กรอกฟอร์มประเมินวิชาให้เรียบร้อยภายใน 18.00,To-do,form
11,รวมลิงก์อ้างอิงทั้งหมดแล้ววางในเอกสารหลัก,To-do,synth
12,ขอรูปปกไฟล์ PDF ขนาด A4 ภายในพรุ่งนี้เช้า,To-do,line_export
13,ย้ายงานที่เสร็จแล้วไปคอลัมน์ Done ในบอร์ด,To-do,synth
14,รวมลิงก์อ้างอิงทั้งหมดแล้ววางในเอกสารหลัก,To-do,line_export
15,อัปเดตเวอร์ชันโค้ดขึ้น Git ก่อนเที่ยง,To-do,line_export
16,เพิ่มตัวอย่างทดสอบอีก 10 เคสในชุด UAT,To-do,synth
17,สรุปค่าใช้จ่ายและส่งใบเสร็จในห้องนี้,To-do,line_export
18,จองห้องประชุมวันพฤหัส 13.00-15.00,To-do,line_export
19,แนบไฟล์รูปภาพความละเอียดสูงในไดรฟ์,To-do,line_export
20,ปรับกราฟให้เป็นโทนสีเดียวกับโปสเตอร์,To-do,synth
21,สรุปวันนี้คุย 3 ประเด็นหลัก คือกำหนดส่ง งานทดสอบ และสื่อประชาสัมพันธ์,Summarize,line_export
22,สรุปผลทดลองรอบแรก ความแม่นยำเฉลี่ย 82 เปอร์เซ็นต์,Summarize,line_export
23,โดยรวมการพัฒนา API คืบหน้า 80 เปอร์เซ็นต์ เหลือต่อกับ LINE และทดสอบ,Summarize,line_export
24,สรุปว่าเวิร์กโฟลว์ใหม่ลดเวลาทำงานลงประมาณ 30 นาทีต่อเคส,Summarize,synth
25,สรุปการบ้านวันนี้ ให้แต่ละคนอัปเดตเอกสารและทดสอบฟีเจอร์หลัก,Summarize,line_export
